date,open,high,low,close,volume
2017-03-22,3246.223,3255.778,3229.128,3245.220,18973164900
2017-03-23,3245.808,3262.091,3221.934,3248.550,19302914400
2017-03-24,3247.350,3275.207,3241.123,3269.445,21977791400
2017-03-27,3268.924,3283.239,3262.118,3266.955,20185267500
2017-03-28,3265.634,3265.634,3246.086,3252.948,16171001300
2017-03-29,3252.865,3262.098,3233.280,3241.314,21610557500
2017-03-30,3235.137,3240.017,3195.852,3210.237,24713547900
2017-03-31,3206.253,3226.248,3205.537,3222.514,19644292200
2017-04-05,3235.660,3270.645,3233.237,3270.305,24832020200
2017-04-06,3272.193,3286.674,3265.765,3281.005,24528799900
2017-04-07,3280.624,3295.187,3275.051,3286.616,23610894200
2017-04-10,3285.459,3285.459,3265.012,3269.393,23269461600
2017-04-11,3266.222,3290.389,3244.405,3288.966,28128124800
2017-04-12,3283.837,3284.934,3262.277,3273.830,26938179000
2017-04-13,3265.218,3281.137,3261.490,3275.960,20734687500
2017-04-14,3276.138,3276.711,3238.896,3246.067,21450855800
2017-04-17,3229.949,3229.949,3199.912,3222.167,21273718900
2017-04-18,3215.396,3225.055,3196.488,3196.713,18866135300
2017-04-19,3184.666,3189.437,3147.066,3170.687,21323807500
2017-04-20,3165.665,3178.183,3148.184,3172.100,19087398500
2017-04-21,3170.290,3180.794,3158.629,3173.151,16476174000
2017-04-24,3164.248,3164.248,3111.215,3129.531,18627743400
2017-04-25,3123.894,3145.267,3117.449,3134.567,15341830700
2017-04-26,3132.918,3152.953,3131.418,3140.847,16987810700
2017-04-27,3131.350,3155.003,3097.333,3152.187,21179307300
2017-04-28,3144.022,3154.727,3136.578,3154.658,16288989900
2017-05-02,3147.228,3154.781,3136.539,3143.712,15422296200
2017-05-03,3138.307,3148.286,3123.751,3135.346,16376392400
2017-05-04,3127.106,3143.818,3111.391,3127.369,17796748500
2017-05-05,3114.774,3117.614,3092.092,3103.038,17621364100
2017-05-08,3090.065,3093.452,3067.694,3078.613,18052690400
2017-05-09,3064.848,3084.208,3056.558,3080.527,13506667400
2017-05-10,3078.173,3090.819,3051.590,3052.785,16079445200
2017-05-11,3036.789,3063.564,3016.531,3061.500,19134190100
2017-05-12,3054.112,3090.491,3051.871,3083.513,15968409900
2017-05-15,3085.932,3098.913,3085.932,3090.229,13566072800
2017-05-16,3082.872,3113.512,3060.534,3112.964,17377556400
2017-05-17,3107.802,3119.582,3101.295,3104.442,16867415800
2017-05-18,3082.329,3103.441,3077.963,3090.139,14862003500
2017-05-19,3086.705,3095.483,3081.278,3090.631,12963523000
2017-05-22,3087.171,3103.938,3063.153,3075.676,15368373000
2017-05-23,3069.394,3084.235,3050.842,3061.947,17831059900
2017-05-24,3047.568,3064.813,3022.303,3064.076,13981335300
2017-05-25,3055.343,3114.658,3052.831,3107.831,19139184100
2017-05-26,3101.286,3120.663,3100.388,3110.059,15592348600
2017-05-31,3125.325,3143.279,3111.556,3117.178,15295043000
2017-06-01,3108.421,3113.521,3097.679,3102.623,16301571900
2017-06-02,3094.225,3110.389,3081.849,3105.540,14250492500
2017-06-05,3102.110,3105.506,3084.830,3091.656,13257030000
2017-06-06,3084.540,3102.863,3078.787,3102.126,11343996300
2017-06-07,3101.761,3140.774,3098.951,3140.325,17322901400
2017-06-08,3136.471,3153.264,3132.828,3150.334,15227765900
2017-06-09,3147.453,3165.920,3146.108,3158.400,16013633400
2017-06-12,3149.527,3164.950,3135.314,3139.877,14672942500
2017-06-13,3134.009,3155.990,3131.043,3153.743,12831827900
2017-06-14,3146.748,3149.173,3125.355,3130.674,13834704200
2017-06-15,3125.587,3137.585,3117.084,3132.486,14695424500
2017-06-16,3126.373,3134.251,3117.857,3123.166,12965275800
2017-06-19,3122.158,3146.770,3121.779,3144.374,13489175800
2017-06-20,3148.019,3150.465,3134.611,3140.014,14119180200
2017-06-21,3148.986,3157.028,3132.617,3156.212,13668826800
2017-06-22,3152.242,3186.982,3146.643,3147.453,19134400600
2017-06-23,3138.444,3158.047,3118.095,3157.873,15484364800
2017-06-26,3157.002,3187.889,3156.977,3185.444,17357921100
2017-06-27,3183.420,3193.461,3172.463,3191.197,14820119800
2017-06-28,3183.633,3193.440,3170.786,3173.201,14651672000
2017-06-29,3174.981,3188.774,3174.284,3188.063,12875547000
2017-06-30,3176.948,3193.241,3171.570,3192.427,12146454300
2017-07-03,3191.998,3196.286,3177.024,3195.912,14030571700
2017-07-04,3192.889,3193.064,3174.314,3182.804,14111496700
2017-07-05,3179.217,3207.310,3174.708,3207.134,14829648300
2017-07-06,3203.863,3215.950,3188.773,3212.444,17580928700
2017-07-07,3203.823,3219.523,3195.291,3217.957,17671541600
2017-07-10,3208.463,3223.340,3203.209,3212.632,19892801000
2017-07-11,3201.517,3226.908,3199.224,3203.038,18783726200
2017-07-12,3201.929,3215.196,3177.935,3197.544,18690088000
2017-07-13,3192.362,3219.268,3190.339,3218.163,19530361100
2017-07-14,3212.032,3222.978,3204.853,3222.417,16012677300
2017-07-17,3219.791,3230.354,3139.504,3176.465,26620527400
2017-07-18,3159.732,3187.671,3150.128,3187.567,19062306000
2017-07-19,3181.402,3232.941,3179.730,3230.976,27242072600
2017-07-20,3227.506,3246.236,3225.433,3244.865,23210839200
2017-07-21,3236.588,3247.712,3231.956,3237.982,20600325100
2017-07-24,3230.898,3261.105,3230.071,3250.599,23305639900
2017-07-25,3249.138,3261.645,3233.138,3243.689,20557387300
2017-07-26,3244.461,3264.848,3228.039,3247.675,21354200500
2017-07-27,3243.765,3251.926,3220.637,3249.781,22848594500
2017-07-28,3240.173,3256.371,3232.963,3253.240,18222688000
2017-07-31,3252.752,3276.946,3251.194,3273.028,24603944000
2017-08-01,3274.369,3292.638,3273.504,3292.638,23719459400
2017-08-02,3288.518,3305.431,3282.038,3285.057,26673062800
2017-08-03,3279.986,3293.369,3262.155,3272.929,23327700400
2017-08-04,3269.318,3287.193,3261.307,3262.081,27590634000
2017-08-07,3257.670,3280.104,3243.715,3279.457,23117337900
2017-08-08,3277.189,3285.483,3269.658,3281.873,25204353700
2017-08-09,3277.808,3277.943,3263.847,3275.573,23559790700
2017-08-10,3269.735,3282.519,3236.183,3261.749,24068462200
2017-08-11,3237.922,3245.116,3200.748,3208.541,26296299500
2017-08-14,3206.044,3240.052,3206.044,3237.360,19034679600
2017-08-15,3235.230,3263.589,3235.101,3251.262,18229799700
2017-08-16,3247.853,3248.785,3228.871,3246.451,17685205100
2017-08-17,3253.846,3269.139,3251.459,3268.430,20362255100
2017-08-18,3253.243,3275.076,3248.083,3268.724,19112248300
2017-08-21,3274.581,3287.519,3270.475,3286.906,18612248300
2017-08-22,3287.615,3293.476,3274.941,3290.226,18653799100
2017-08-23,3283.797,3299.457,3274.440,3287.705,17983220800
2017-08-24,3287.959,3297.989,3266.359,3271.512,16346893700
2017-08-25,3271.461,3331.915,3271.461,3331.522,20583948200
2017-08-28,3336.126,3375.034,3336.126,3362.651,25746143800
2017-08-29,3362.060,3374.595,3354.463,3365.226,21950453500
2017-08-30,3361.821,3376.648,3357.080,3363.627,24686331200
2017-08-31,3361.462,3367.358,3340.687,3360.810,23441978100
2017-09-01,3365.991,3381.925,3358.472,3367.119,28249758400
2017-09-04,3369.719,3381.403,3359.131,3379.583,26742784900
2017-09-05,3377.197,3390.823,3371.571,3384.317,21655294600
2017-09-06,3372.428,3391.011,3364.765,3385.389,22909078500
2017-09-07,3383.628,3387.796,3363.177,3365.497,22111868500
2017-09-08,3364.428,3380.890,3353.688,3365.243,19840518400
2017-09-11,3365.351,3384.810,3360.046,3376.419,21901101900
2017-09-12,3381.487,3391.069,3370.852,3379.488,27291031900
